region,site,date,pm_index,ascospore,incidence,severity,bot_incidence,bot_severity
napa,wilsey,7/12/1995,80,,22,2,0,0
napa,wilsey,7/19/1995,80,,25,2,0,0
napa,wilsey,7/26/1995,40,,17,1,0,0
napa,wilsey,8/2/1995,0,,17,3,0,0
napa,wilsey,8/10/1995,0,,17,2,0,0
napa,wilsey,8/17/1995,40,,0,0,0,0
napa,wilsey,8/23/1995,10,,3,1,0,0
napa,wilsey,8/31/1995,20,,0,0,0,0
napa,wilsey,9/7/1995,0,,0,0,0,0
napa,wilsey,9/14/1995,40,,0,0,0,0
napa,wilsey,9/21/1995,60,,0,0,0,0
napa,wilsey,9/26/1995,100,,6,2,0,0
napa,wilsey,10/5/1995,70,,0,0,0,0
